"公历","农历","年干支","日干支","五行建除"
"0986-02-17","1月1日","丙戌","庚午","定"
"0986-02-18","1月2日","丙戌","辛未","执"
"0986-02-19","1月3日","丙戌","壬申","破"
"0986-02-20","1月4日","丙戌","癸酉","危"
"0986-02-21","1月5日","丙戌","甲戌","成"
"0986-02-22","1月6日","丙戌","乙亥","收"
"0986-02-23","1月7日","丙戌","丙子","开"
"0986-02-24","1月8日","丙戌","丁丑","闭"
"0986-02-25","1月9日","丙戌","戊寅","建"
"0986-02-26","1月10日","丙戌","己卯","除"
"0986-02-27","1月11日","丙戌","庚辰","满"
"0986-02-28","1月12日","丙戌","辛巳","平"
"0986-03-01","1月13日","丙戌","壬午","定"
"0986-03-02","1月14日","丙戌","癸未","执"
"0986-03-03","1月15日","丙戌","甲申","破"
"0986-03-04","1月16日","丙戌","乙酉","危"
"0986-03-05","1月17日","丙戌","丙戌","成"
"0986-03-06","1月18日","丙戌","丁亥","收"
"0986-03-07","1月19日","丙戌","戊子","开"
"0986-03-08","1月20日","丙戌","己丑","闭"
"0986-03-09","1月21日","丙戌","庚寅","建"
"0986-03-10","1月22日","丙戌","辛卯","除"
"0986-03-11","1月23日","丙戌","壬辰","满"
"0986-03-12","1月24日","丙戌","癸巳","平"
"0986-03-13","1月25日","丙戌","甲午","定"
"0986-03-14","1月26日","丙戌","乙未","执"
"0986-03-15","1月27日","丙戌","丙申","破"
"0986-03-16","1月28日","丙戌","丁酉","危"
"0986-03-17","1月29日","丙戌","戊戌","成"
"0986-03-18","2月1日","丙戌","己亥","成"
"0986-03-19","2月2日","丙戌","庚子","收"
"0986-03-20","2月3日","丙戌","辛丑","开"
"0986-03-21","2月4日","丙戌","壬寅","闭"
"0986-03-22","2月5日","丙戌","癸卯","建"
"0986-03-23","2月6日","丙戌","甲辰","除"
"0986-03-24","2月7日","丙戌","乙巳","满"
"0986-03-25","2月8日","丙戌","丙午","平"
"0986-03-26","2月9日","丙戌","丁未","定"
"0986-03-27","2月10日","丙戌","戊申","执"
"0986-03-28","2月11日","丙戌","己酉","破"
"0986-03-29","2月12日","丙戌","庚戌","危"
"0986-03-30","2月13日","丙戌","辛亥","成"
"0986-03-31","2月14日","丙戌","壬子","收"
"0986-04-01","2月15日","丙戌","癸丑","开"
"0986-04-02","2月16日","丙戌","甲寅","闭"
"0986-04-03","2月17日","丙戌","乙卯","建"
"0986-04-04","2月18日","丙戌","丙辰","除"
"0986-04-05","2月19日","丙戌","丁巳","满"
"0986-04-06","2月20日","丙戌","戊午","平"
"0986-04-07","2月21日","丙戌","己未","定"
"0986-04-08","2月22日","丙戌","庚申","执"
"0986-04-09","2月23日","丙戌","辛酉","破"
"0986-04-10","2月24日","丙戌","壬戌","危"
"0986-04-11","2月25日","丙戌","癸亥","成"
"0986-04-12","2月26日","丙戌","甲子","收"
"0986-04-13","2月27日","丙戌","乙丑","开"
"0986-04-14","2月28日","丙戌","丙寅","闭"
"0986-04-15","2月29日","丙戌","丁卯","建"
"0986-04-16","2月30日","丙戌","戊辰","除"
"0986-04-17","3月1日","丙戌","己巳","除"
"0986-04-18","3月2日","丙戌","庚午","满"
"0986-04-19","3月3日","丙戌","辛未","平"
"0986-04-20","3月4日","丙戌","壬申","定"
"0986-04-21","3月5日","丙戌","癸酉","执"
"0986-04-22","3月6日","丙戌","甲戌","破"
"0986-04-23","3月7日","丙戌","乙亥","危"
"0986-04-24","3月8日","丙戌","丙子","成"
